Product_Key,Product ID,Category,Sub-Category,Product Name
1,FUR-BO-10001798,Furniture,Bookcases,Bush Somerset Collection Bookcase
2,FUR-CH-10000454,Furniture,Chairs,"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back"
3,FUR-TA-10000577,Furniture,Tables,Bretford CR4500 Series Slim Rectangular Table
4,FUR-FU-10001487,Furniture,Furnishings,"Eldon Expressions Wood and Plastic Desk Accessories, Cherry Wood"
5,FUR-TA-10001539,Furniture,Tables,Chromcraft Rectangular Conference Tables
6,FUR-CH-10002774,Furniture,Chairs,"Global Deluxe Stacking Chair, Gray"
7,FUR-BO-10004834,Furniture,Bookcases,"Riverside Palais Royal Lawyers Bookcase, Royale Cherry Finish"
8,FUR-FU-10004848,Furniture,Furnishings,"Howard Miller 13-3/4"" Diameter Brushed Chrome Round Wall Clock"
9,FUR-FU-10003664,Furniture,Furnishings,"Electrix Architect's Clamp-On Swing Arm Lamp, Black"
10,FUR-BO-10002545,Furniture,Bookcases,"Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors"
11,FUR-CH-10004218,Furniture,Chairs,"Global Fabric Manager's Chair, Dark Gray"
12,FUR-FU-10001706,Furniture,Furnishings,Longer-Life Soft White Bulbs
13,FUR-CH-10003061,Furniture,Chairs,"Global Leather Task Chair, Black"
14,FUR-CH-10003968,Furniture,Chairs,Novimex Turbo Task Chair
15,FUR-FU-10000397,Furniture,Furnishings,Luxo Economy Swing Arm Lamp
16,FUR-CH-10001146,Furniture,Chairs,"Global Value Mid-Back Manager's Chair, Gray"
17,FUR-CH-10000513,Furniture,Chairs,High-Back Leather Manager's Chair
18,FUR-FU-10003708,Furniture,Furnishings,"Tenex Traditional Chairmats for Medium Pile Carpet, Standard Lip, 36"" x 48"""
19,FUR-FU-10000260,Furniture,Furnishings,"6"" Cubicle Wall Clock, Black"
20,FUR-FU-10003194,Furniture,Furnishings,"Eldon Expressions Desk Accessory, Wood Pencil Holder, Oak"
21,FUR-CH-10000863,Furniture,Chairs,Novimex Swivel Fabric Task Chair
22,FUR-FU-10003799,Furniture,Furnishings,"Seth Thomas 13 1/2"" Wall Clock"
23,FUR-FU-10000629,Furniture,Furnishings,9-3/4 Diameter Round Wall Clock
24,FUR-FU-10004006,Furniture,Furnishings,"Deflect-o DuraMat Lighweight, Studded, Beveled Mat for Low Pile Carpeting"
25,FUR-FU-10001934,Furniture,Furnishings,Magnifier Swing Arm Lamp
26,FUR-TA-10001768,Furniture,Tables,Hon Racetrack Conference Tables
27,FUR-FU-10002157,Furniture,Furnishings,Artistic Insta-Plaque
28,FUR-CH-10004063,Furniture,Chairs,Global Deluxe High-Back Manager's Chair
29,FUR-TA-10004534,Furniture,Tables,Bevis 44 x 96 Conference Tables
30,FUR-FU-10003773,Furniture,Furnishings,Eldon Cleatmat Plus Chair Mats for High Pile Carpets
31,FUR-FU-10000521,Furniture,Furnishings,"Seth Thomas 14"" Putty-Colored Wall Clock"
32,FUR-CH-10004287,Furniture,Chairs,SAFCO Arco Folding Chair
33,FUR-CH-10003817,Furniture,Chairs,"Global Value Steno Chair, Gray"
34,FUR-CH-10004698,Furniture,Chairs,"Padded Folding Chairs, Black, 4/Carton"
35,FUR-BO-10002613,Furniture,Bookcases,"Atlantic Metals Mobile 4-Shelf Bookcases, Custom Colors"
36,FUR-TA-10004289,Furniture,Tables,BoxOffice By Design Rectangular and Half-Moon Meeting Room Tables
37,FUR-FU-10002960,Furniture,Furnishings,"Eldon 200 Class Desk Accessories, Burgundy"
38,FUR-BO-10004695,Furniture,Bookcases,O'Sullivan 2-Door Barrister Bookcase in Odessa Pine
39,FUR-FU-10000087,Furniture,Furnishings,"Executive Impressions 14"" Two-Color Numerals Wall Clock"
40,FUR-TA-10003748,Furniture,Tables,Bevis 36 x 72 Conference Tables
41,FUR-CH-10004860,Furniture,Chairs,Global Low Back Tilter Chair
42,FUR-CH-10004477,Furniture,Chairs,"Global Push Button Manager's Chair, Indigo"
43,FUR-TA-10001705,Furniture,Tables,Bush Advantage Collection Round Conference Table
44,FUR-TA-10003473,Furniture,Tables,Bretford Rectangular Conference Table Tops
45,FUR-FU-10004017,Furniture,Furnishings,"Tenex Contemporary Contur Chairmats for Low and Medium Pile Carpet, Computer, 39"" x 49"""
46,FUR-FU-10000576,Furniture,Furnishings,Luxo Professional Fluorescent Magnifier Lamp with Clamp-Mount Base
47,FUR-FU-10004351,Furniture,Furnishings,Staple-based wall hangings
48,FUR-TA-10002607,Furniture,Tables,KI Conference Tables
49,FUR-FU-10002505,Furniture,Furnishings,Eldon 100 Class Desk Accessories
50,FUR-CH-10002965,Furniture,Chairs,"Global Leather Highback Executive Chair with Pneumatic Height Adjustment, Black"
51,FUR-FU-10003274,Furniture,Furnishings,Regeneration Desk Collection
52,FUR-TA-10002903,Furniture,Tables,"Bevis Round Bullnose 29"" High Table Top"
53,FUR-BO-10004709,Furniture,Bookcases,"Bush Westfield Collection Bookcases, Medium Cherry Finish"
54,FUR-FU-10004091,Furniture,Furnishings,"Howard Miller 13"" Diameter Goldtone Round Wall Clock"
55,FUR-CH-10001891,Furniture,Chairs,Global Deluxe Office Fabric Chairs
56,FUR-FU-10002918,Furniture,Furnishings,Eldon ClusterMat Chair Mat with Cordless Antistatic Protection
